chapter_id,scene_id,subsection,sequence,record_type,speaker,delivery_mode,text,background,environment,bgm,sfx,time_cue,direction
CH03,Scene01,,44,narration,,,今すぐ会いに行けば、返事を急かすことになるかもしれない。,,,,,,
CH03,Scene01,,45,narration,,,かなこは日記を引き出しへ入れず、便箋の隣へ置く。,,,,,,
CH03,Scene01,,46,narration,,,明日、支援所で相談してから返信することにした。,,,,,,
CH03,Scene01,,47,direction,,,,,,,,,画面演出：短い暗転
CH03,Scene02,,1,time_cue,,,,,,,,翌日・昼,時間経過：翌日・昼
CH03,Scene02,,2,background,,,,BG_SC03_SUPPORT_CENTER_WORKROOM_DAY,,,,,背景：支援所作業室・昼／素材ID：BG_SC03_SUPPORT_CENTER_WORKROOM_DAY
CH03,Scene02,,3,environment,,,,,ENV_UNIVERSITY_CLASSROOM,,,,環境音：人の少ない支援所作業音／候補素材ID：ENV_UNIVERSITY_CLASSROOM
CH03,Scene02,,4,bgm,,,,,,停止,,,BGM：停止
CH03,Scene02,,5,narration,,,かなこは受付の案内を終え、スマートフォンを伏せて板垣先生の前へ置く。,,,,,,
CH03,Scene02,,6,narration,,,画面には、たけしから届いた二つの短い文章が残っている。,,,,,,
CH03,Scene02,,7,dialogue,かなこ,written,「返事がありました。でも、いつ来られるかは分からないそうです」,,,,,,
CH03,Scene02,,8,narration,,,板垣先生は画面を読んでから、かなこへ返す。,,,,,,
CH03,Scene02,,9,dialogue,板垣先生,spoken,「返せたことと、来られることは分けて考えよう」,,,,,,
CH03,Scene02,,10,dialogue,かなこ,sign,「どう返せばいいですか」,,,,,,
CH03,Scene02,,11,dialogue,板垣先生,spoken,「来る日を先に決めるより、来るならどうしたいかを、たけし君に選んでもらおう」,,,,,,
CH03,Scene02,,12,narration,,,板垣先生は、受付の奥にある部屋を指す。,,,,,,
CH03,Scene02,,13,narration,,,今は使われていない、小さな面談室だった。,,,,,,
CH03,Scene02,,14,dialogue,板垣先生,spoken,「静かな部屋なら来られるか、文字だけなら話せるか。決めるのは、たけし君に任せよう」,,,,,,
CH03,Scene02,,15,dialogue,かなこ,written,「途中で帰ってもいい、と書いてもいいですか」,,,,,,
CH03,Scene02,,16,dialogue,板垣先生,spoken,「もちろん。来られなくても責めないことも、同じくらい大事だね」,,,,,,
CH03,Scene02,,17,narration,,,支援所職員が作業表を持って受付へ来る。,,,,,,
CH03,Scene02,,18,dialogue,支援所職員,spoken,「あの部屋なら、予約なしで使える時間があります」,,,,,,
CH03,Scene02,,19,dialogue,かなこ,written,「急に来ても使えますか」,,,,,,
CH03,Scene02,,20,dialogue,支援所職員,spoken,「先に連絡だけもらえれば。作業へ入らず、話して帰るだけでも大丈夫です」,,,,,,
CH03,Scene02,,21,narration,,,作業表には、たけしが以前確認した欄が残っている。,,,,,,
CH03,Scene02,,22,narration,,,その続きは、別の人の印で埋められていた。,,,,,,
CH03,Scene02,,23,narration,,,止まっていた作業を、別の人が引き継いだ印だった。,,,,,,
CH03,Scene02,,24,narration,,,かなこはスマートフォンへ文章を打つ。,,,,,,
CH03,Scene02,,25,dialogue,かなこ,message,「もし来られそうなら、静かな部屋を使えます。短い時間でも、文字だけでも大丈夫です」,,,,,,
CH03,Scene02,,26,narration,,,一度読み返し、続きを送る。,,,,,,
CH03,Scene02,,27,dialogue,かなこ,message,「途中で帰ってもかまいません。来られなくても、返事はいりません」,,,,,,
CH03,Scene02,,28,narration,,,送信済みの印がつく。,,,,,,
CH03,Scene02,,29,narration,,,かなこは既読を待たず、次の案内へ戻る。,,,,,,
CH03,Scene02,,30,direction,,,,,,,,,画面演出：短い暗転
CH03,Scene02,,31,time_cue,,,,,,,,同日・夜,時間経過：同日・夜
CH03,Scene02,,32,background,,,,BG_CH3_KANAKO_APARTMENT_DESK_NIGHT,,,,,背景：かなこの自宅・机・夜／素材ID：BG_CH3_KANAKO_APARTMENT_DESK_NIGHT
CH03,Scene02,,33,environment,,,,,停止,,,,環境音：停止／自宅区間はBGMのみ
CH03,Scene02,,34,bgm,,,,,,BGM_SC04D_ANXIETY_AND_DECISION,,,BGM：決断前の静かな不安／候補素材ID：BGM_SC04D_ANXIETY_AND_DECISION／低音量
CH03,Scene02,,35,narration,,,スマートフォンに、新しい返信はない。,,,,,,
CH03,Scene02,,36,narration,,,かなこは便箋の続きを書こうとする。,,,,,,
CH03,Scene02,,37,narration,,,昼に送った条件は、待つためのものだった。,,,,,,
CH03,Scene02,,38,narration,,,返信を待つ間にも、たけしは静けさの中で次の音に身構えている。,,,,,,
CH03,Scene02,,39,narration,,,机の横には、古い日記がある。,,,,,,
CH03,Scene02,,40,narration,,,昨夜見えた筆圧は、同じ角度でも読みにくくなっていた。,,,,,,
CH03,Scene02,,41,narration,,,紙の癖が変わっただけかもしれない。,,,,,,
CH03,Scene02,,42,narration,,,意味を探しているから、文字に見えるだけかもしれない。,,,,,,
CH03,Scene02,,43,narration,,,かなこは空白ページを開く。,,,,,,
CH03,Scene02,,44,narration,,,本人が戻れる日を待つのか。,,,,,,
CH03,Scene02,,45,narration,,,本人に代わって、苦しみのない明日を願うのか。,,,,,,
CH03,Scene02,,46,direction,,,,,,,,,分岐セーブ：分岐セーブ1「日記に願いを書く前」
CH03,Scene02,,47,direction,,,書かずに待つ,,,,,,選択肢：CH3_CHOICE_01_WAIT／書かずに待つ／接続先：Scene03
CH03,Scene02,,48,direction,,,日記に言葉を書く,,,,,,選択肢：CH3_CHOICE_01_WRITE／日記に言葉を書く／接続先：Scene04
CH03,Scene02,,49,direction,,,,,,,,,分岐：選択結果に応じてScene03またはScene04へ移動
CH03,Scene03,,1,time_cue,,,,,,,,数日後,時間経過：数日後
CH03,Scene03,,2,direction,,,,,,,,,メッセージ画面
CH03,Scene03,,3,dialogue,たけし,message,「短い時間なら、行けそうです」,,,,,,
CH03,Scene03,,4,narration,,,続けて、条件が届く。,,,,,,
CH03,Scene03,,5,dialogue,たけし,message,「静かな部屋で、文字で話したいです。途中で帰るかもしれません」,,,,,,
CH03,Scene03,,6,narration,,,かなこは、時間を決める前に一度だけ確認する。,,,,,,
CH03,Scene03,,7,dialogue,かなこ,message,「分かりました。扉をどのくらい開けるかも、来てから決められます」,,,,,,
CH03,Scene03,,8,direction,,,,,,,,,画面演出：短い暗転
CH03,Scene03,,9,background,,,,BG_SC04_QUIET_MEETING_ROOM_DAY,,,,,背景：支援所内の静かな部屋・昼／素材ID：BG_SC04_QUIET_MEETING_ROOM_DAY
CH03,Scene03,,10,environment,,,,,停止,,,,環境音：停止／支援所内の静かな部屋はBGMのみ
CH03,Scene03,,11,bgm,,,,,,BGM_SC03_SMALL_HOPE,,,BGM：小さな前進／候補素材ID：BGM_SC03_SMALL_HOPE／控えめ
CH03,Scene03,,12,narration,,,たけしは作業室へ入らず、受付から静かな部屋へ案内される。,,,,,,
CH03,Scene03,,13,narration,,,かなこも先に入らず、廊下側で待っている。,,,,,,
CH03,Scene03,,14,narration,,,たけしは部屋へ入ると、椅子より先に扉と窓を見る。,,,,,,
CH03,Scene03,,15,dialogue,板垣先生,spoken,「扉は閉める？　少し開けておく？」,,,,,,
CH03,Scene03,,16,dialogue,たけし,spoken,「開けておいてください。少しでいいです」,,,,,,
CH03,Scene03,,17,narration,,,支援所職員は扉を手の幅だけ開け、廊下へ戻る。,,,,,,
CH03,Scene03,,18,narration,,,たけしは出口に近い椅子へ座る。,,,,,,
CH03,Scene03,,19,narration,,,かなこは向かいではなく、斜めの席を選ぶ。,,,,,,
CH03,Scene03,,20,narration,,,机に、短い文章を書ける紙を置いた。,,,,,,
CH03,Scene03,,21,dialogue,かなこ,written,「今日は、どのくらいにしますか」,,,,,,
CH03,Scene03,,22,dialogue,たけし,written,「十分くらい。話せなかったら、それで帰ります」,,,,,,
CH03,Scene03,,23,dialogue,板垣先生,spoken,「分かった。時間になったら、続けるかどうかも聞くよ」,,,,,,
CH03,Scene03,,24,narration,,,たけしはうなずく。,,,,,,
CH03,Scene03,,25,narration,,,作業へ戻るよう求める人はいない。,,,,,,
CH03,Scene03,,26,narration,,,しばらく、紙へ文字を書く音もない。,,,,,,
CH03,Scene03,,27,dialogue,たけし,written,「音が鳴る前に、鳴る場所を探します」,,,,,,
CH03,Scene03,,28,dialogue,たけし,written,「静かになっても、次が来ると思います」,,,,,,
CH03,Scene03,,29,narration,,,かなこは返事を書きかけ、手を止める。,,,,,,
CH03,Scene03,,30,narration,,,「大丈夫」とは書かない。,,,,,,
CH03,Scene03,,31,dialogue,板垣先生,spoken,「どこまでなら、ここで話せそう？」,,,,,,
CH03,Scene03,,32,dialogue,たけし,spoken,「今は、そこまでです」,,,,,,
CH03,Scene03,,33,dialogue,板垣先生,spoken,「分かった」,,,,,,
CH03,Scene03,,34,narration,,,質問を重ねず、紙をたけしの側へ戻す。,,,,,,
CH03,Scene03,,35,sfx,,,,,,,,,効果音：廊下で箱またはトレーを置く控えめな音／任意。素材がなければ地の文のみ
CH03,Scene03,,36,narration,,,扉の外で、硬いものが一度だけ触れ合う。,,,,,,
CH03,Scene03,,37,dialogue,支援所職員,spoken,「すみません。今のは、廊下の奥で箱を置いた音です」,,,,,,
CH03,Scene03,,38,narration,,,音は、職員にもかなこにも聞こえている。,,,,,,
CH03,Scene03,,39,narration,,,たけしには、開いた扉のすぐ外で次の何かが倒れるように感じられた。,,,,,,
CH03,Scene03,,40,narration,,,椅子から腰が浮く。,,,,,,
CH03,Scene03,,41,narration,,,かなこは手を伸ばさず、紙へ三つだけ書く。,,,,,,
CH03,Scene03,,42,dialogue,かなこ,written,「帰る。扉を開ける。少し待つ」,,,,,,
CH03,Scene03,,43,narration,,,紙をたけしの前へ滑らせる。,,,,,,
CH03,Scene03,,44,narration,,,たけしは扉を見る。,,,,,,
CH03,Scene03,,45,dialogue,たけし,spoken,「もう少し、開けてください」,,,,,,
CH03,Scene03,,46,narration,,,支援所職員が扉を広く開ける。,,,,,,
CH03,Scene03,,47,narration,,,廊下の奥には、閉じた箱が一つ置かれている。,,,,,,
CH03,Scene03,,48,narration,,,たけしは立ったまま、出口までの距離を確かめる。,,,,,,
CH03,Scene03,,49,dialogue,たけし,spoken,「……もう少し、ここにいます」,,,,,,
CH03,Scene03,,50,narration,,,自分で椅子へ戻る。,,,,,,
CH03,Scene03,,51,narration,,,かなこはうなずき、それ以上は書かない。,,,,,,
CH03,Scene03,,52,narration,,,約束した十分が過ぎる。,,,,,,
CH03,Scene03,,53,dialogue,板垣先生,spoken,「今日は、ここで終わる？　あと少し続ける？」,,,,,,
CH03,Scene03,,54,dialogue,たけし,spoken,「今日は終わります」,,,,,,
CH03,Scene03,,55,dialogue,板垣先生,spoken,「次の予定は、今決めなくていいよ」,,,,,,
CH03,Scene03,,56,dialogue,たけし,spoken,「次に来られそうなときに、また相談します」,,,,,,
CH03,Scene03,,57,narration,,,たけしは帰り支度をする。,,,,,,
CH03,Scene03,,58,narration,,,かなこは便箋を一枚、机の端へ置く。,,,,,,
CH03,Scene03,,59,dialogue,かなこ,written,「置いてあるものは、そのままにしておきます。話したくなったら、知らせてください」,,,,,,
CH03,Scene03,,60,narration,,,たけしは最初の一行だけ読み、便箋を折らずに鞄へ入れる。,,,,,,
CH03,Scene03,,61,dialogue,たけし,spoken,「持って帰ります」,,,,,,
CH03,Scene03,,62,dialogue,かなこ,sign,「分かりました」,,,,,,
CH03,Scene03,,63,narration,,,たけしは開いた扉から、自分で部屋を出る。,,,,,,
CH03,Scene03,,64,direction,,,,,,,,,画面演出：短い暗転
CH03,Scene03,,65,time_cue,,,,,,,,同日・夜,時間経過：同日・夜
CH03,Scene03,,66,background,,,,BG_CH3_KANAKO_APARTMENT_DESK_NIGHT,,,,,背景：かなこの自宅・机・夜／素材ID：BG_CH3_KANAKO_APARTMENT_DESK_NIGHT
CH03,Scene03,,67,environment,,,,,ENV_QUIET_ROOM,,,,環境音：静かな室内音／候補素材ID：ENV_QUIET_ROOM
CH03,Scene03,,68,bgm,,,,,,BGM_SC03_SMALL_HOPE,,,BGM：小さな前進／候補素材ID：BGM_SC03_SMALL_HOPE／フェードアウト
CH03,Scene03,,69,narration,,,日記は、書かれないまま机に残っている。,,,,,,
CH03,Scene03,,70,narration,,,かなこは前と同じ位置へ明かりを置く。,,,,,,
CH03,Scene03,,71,direction,,,,,,,,,画面演出：斜めの光で筆圧を表示
CH03,Scene03,,72,narration,,,「書いた次の日」と読めた溝が、途中から薄くなっている。,,,,,,
CH03,Scene03,,73,narration,,,明かりを少し動かすと、また一部が見える。,,,,,,
CH03,Scene03,,74,narration,,,紙の角度が変わっただけかもしれない。,,,,,,
CH03,Scene03,,75,narration,,,最初から、そう見えていただけかもしれない。,,,,,,
CH03,Scene03,,76,narration,,,かなこは答えを探さず、日記を閉じる。,,,,,,
CH03,Scene03,,77,narration,,,苦しみは消えていない。,,,,,,
CH03,Scene03,,78,narration,,,次に来る日も決まっていない。,,,,,,
CH03,Scene03,,79,narration,,,それでも、今日帰る時間を決めたのは、たけしだった。,,,,,,
CH03,Scene03,,80,direction,,,,,,,,,画面演出：ゆっくり暗転
CH03,Scene03,,81,direction,,,TRUE END,,,,,,エンド表示：TRUE END
CH03,Scene03,,82,direction,,,この世界を歩く,,,,,,エンドタイトル：この世界を歩く
CH03,Scene03,,83,chapter_end,,,第三章終了,,,,,,第三章終了：TRUE END
CH03,Scene04,,1,direction,,,,,,,,,分岐復帰：CH3_CHOICE_01_WRITE
CH03,Scene04,,2,background,,,,BG_CH3_KANAKO_APARTMENT_DESK_NIGHT,,,,,背景：かなこの自宅・机・夜／素材ID：BG_CH3_KANAKO_APARTMENT_DESK_NIGHT
CH03,Scene04,,3,environment,,,,,停止,,,,環境音：停止／Scene04冒頭はBGMのみ
CH03,Scene04,,4,bgm,,,,,,BGM_SC04D_ANXIETY_AND_DECISION,,,BGM：決断前の静かな不安／候補素材ID：BGM_SC04D_ANXIETY_AND_DECISION／低音量
CH03,Scene04,,5,narration,,,かなこは空白ページを開いたまま、たけしからの返信を読み返す。,,,,,,
CH03,Scene04,,6,narration,,,音がしなくても、次の音を待ってしまう。,,,,,,
CH03,Scene04,,7,narration,,,その一文を、便箋の下書きへ写そうとする。,,,,,,
CH03,Scene04,,8,narration,,,ペン先は、日記の上で止まっていた。,,,,,,
CH03,Scene04,,9,narration,,,願いが叶うとは思っていない。,,,,,,
CH03,Scene04,,10,narration,,,筆圧の言葉が、誰へ向けられたものかも分からない。,,,,,,
CH03,Scene04,,11,narration,,,ただ、明日まで同じ苦しさが続くことを考える。,,,,,,
CH03,Scene04,,12,dialogue,かなこ,spoken,「明日だけでも」,,,,,,
CH03,Scene04,,13,sfx,,,,,,,,,効果音：ペン先が紙へ触れる音／効果音なし
CH03,Scene04,,14,direction,,written,「明日のたけしが、もう音に苦しまなくてすみますように。」,,,,,,日記：「明日のたけしが、もう音に苦しまなくてすみますように。」
CH03,Scene04,,15,narration,,,書き終えても、部屋の明かりは変わらない。,,,,,,
CH03,Scene04,,16,narration,,,ページも、文字も動かない。,,,,,,
CH03,Scene04,,17,narration,,,かなこは一行を指でなぞらず、そのまま日記を閉じる。,,,,,,
CH03,Scene04,,18,bgm,,,,,,停止,,,BGM：停止
CH03,Scene04,,19,direction,,,,,,,,,画面演出：暗転
CH03,Scene04,,20,time_cue,,,,,,,,翌日,日付表示：翌日
CH03,Scene04,,21,background,,,,BG_CH3_KANAKO_APARTMENT_DESK_NIGHT,,,,,背景：かなこの自宅・机・朝／素材ID：BG_CH3_KANAKO_APARTMENT_DESK_NIGHT／明度調整
CH03,Scene04,,22,narration,,,スマートフォンの画面に、昨日までと違う短いやり取りが並んでいる。,,,,,,
CH03,Scene04,,23,dialogue,かなこ,message,「確認票は受付へお願いします」,,,,,,メッセージ履歴：かなこ「確認票は受付へお願いします」
CH03,Scene04,,24,dialogue,たけし,message,「明日、伺います」,,,,,,メッセージ履歴：たけし「明日、伺います」
CH03,Scene04,,25,narration,,,返事を求めない一通は見当たらない。,,,,,,
CH03,Scene04,,26,narration,,,音がしない時間について書かれた返信もない。,,,,,,
CH03,Scene04,,27,narration,,,かなこは画面を閉じ、日記を開く。,,,,,,
CH03,Scene04,,28,narration,,,昨夜の一文だけが、同じ場所に残っていた。,,,,,,
CH03,Scene04,,29,direction,,,,,,,,,画面演出：短い暗転
CH03,Scene04,,30,background,,,,BG_SC03_SUPPORT_CENTER_WORKROOM_DAY,,,,,背景：支援所作業室・昼／素材ID：BG_SC03_SUPPORT_CENTER_WORKROOM_DAY
CH03,Scene04,,31,environment,,,,,ENV_UNIVERSITY_CLASSROOM,,,,環境音：人の少ない支援所作業音／候補素材ID：ENV_UNIVERSITY_CLASSROOM
CH03,Scene04,,32,bgm,,,,,,BGM_SC02_AFTER_DISASTER_SILENCE,,,BGM：改変後の静かな停滞／候補素材ID：BGM_SC02_AFTER_DISASTER_SILENCE／低音量
CH03,Scene04,,33,narration,,,かなこが受付へ着くと、たけしが作業台の前に立っている。,,,,,,
CH03,Scene04,,34,narration,,,以前より整った服装で、鞄を椅子の背へ掛けていた。,,,,,,
CH03,Scene04,,35,narration,,,姿が別人になったわけではない。,,,,,,
CH03,Scene04,,36,narration,,,立つ位置も、人へ向ける視線の長さも、少しずつ違う。,,,,,,
CH03,Scene04,,37,dialogue,支援所職員,spoken,「たけしさん、確認票ありがとうございました」,,,,,,
CH03,Scene04,,38,dialogue,たけし,spoken,「いえ。近くに用事があったので」,,,,,,
CH03,Scene04,,39,narration,,,支援所職員が金属のトレーを作業台へ置く。,,,,,,
CH03,Scene04,,40,narration,,,軽い音が一度、室内へ広がる。,,,,,,
CH03,Scene04,,41,narration,,,たけしは振り返らない。,,,,,,
CH03,Scene04,,42,narration,,,手元の書類を揃えたまま、次の欄へ視線を移す。,,,,,,
CH03,Scene04,,43,narration,,,かなこは手話で挨拶する。,,,,,,
CH03,Scene04,,44,dialogue,かなこ,sign,「来られたんですね」,,,,,,
CH03,Scene04,,45,narration,,,たけしはかなこの手を見てから、声で返す。,,,,,,
CH03,Scene04,,46,dialogue,たけし,spoken,「こんにちは。手話、まだ続けているんですね」,,,,,,
CH03,Scene04,,47,narration,,,かなこの手が止まる。,,,,,,
CH03,Scene04,,48,dialogue,かなこ,written,「たけし君も、使っていましたよね」,,,,,,
CH03,Scene04,,49,dialogue,たけし,spoken,「授業で少し触れたことはあります。でも、会話に使うほどでは」,,,,,,
CH03,Scene04,,50,narration,,,礼儀正しい声だった。,,,,,,
CH03,Scene04,,51,narration,,,否定するために強く言ったわけでもない。,,,,,,
CH03,Scene04,,52,dialogue,かなこ,written,「今の音は、気になりませんでしたか」,,,,,,
CH03,Scene04,,53,narration,,,たけしは、作業台のトレーを見る。,,,,,,
CH03,Scene04,,54,dialogue,たけし,spoken,「今の音ですか。特には」,,,,,,
CH03,Scene04,,55,dialogue,支援所職員,spoken,「いつものトレーですよ。今日は少し強く置いてしまいましたけど」,,,,,,
CH03,Scene04,,56,narration,,,職員も音には気づいている。,,,,,,
CH03,Scene04,,57,narration,,,けれど、たけしだけが以前のようには受け取っていない。,,,,,,
CH03,Scene04,,58,dialogue,たけし,spoken,「書類はこれで全部です。大学へ戻るので、失礼します」,,,,,,
CH03,Scene04,,59,dialogue,かなこ,written,「大学へ戻るんですか」,,,,,,
CH03,Scene04,,60,dialogue,たけし,spoken,「戻る、というほど休んでいませんよ」,,,,,,
CH03,Scene04,,61,narration,,,たけしは時計を見て、鞄を取る。,,,,,,
CH03,Scene04,,62,dialogue,たけし,spoken,「それでは」,,,,,,
CH03,Scene04,,63,narration,,,かなこへ浅く頭を下げる。,,,,,,
CH03,Scene04,,64,narration,,,以前使っていた作業棚には近づかず、入口へ向かう。,,,,,,
CH03,Scene04,,65,narration,,,支援所職員は、それを不自然には見ていない。,,,,,,
CH03,Scene04,,66,narration,,,かなこだけが、空いた作業台とたけしの背中を交互に見る。,,,,,,
CH03,Scene04,,67,direction,,,,,,,,,画面演出：短い暗転
CH03,Scene05,,1,time_cue,,,,,,,,その日の午後。,時間経過：その日の午後。
CH03,Scene05,,2,background,,,,BG_SC04_QUIET_MEETING_ROOM_DAY,,,,,背景：支援所内の静かな部屋・昼／素材ID：BG_SC04_QUIET_MEETING_ROOM_DAY
CH03,Scene05,,3,environment,,,,,停止,,,,環境音：停止／支援所内の静かな部屋はBGMのみ
CH03,Scene05,,4,bgm,,,,,,BGM_SC02_AFTER_DISASTER_SILENCE,,,BGM：改変後の静かな停滞／候補素材ID：BGM_SC02_AFTER_DISASTER_SILENCE／低音量
CH03,Scene05,,5,narration,,,かなこは帰りかけたたけしへ、短く確認したいことがあると筆談で伝える。,,,,,,
CH03,Scene05,,6,narration,,,たけしは時計を見てから、五分ならと答えた。,,,,,,
CH03,Scene05,,7,narration,,,静かな部屋の扉を閉めても、たけしは出口を確認しない。,,,,,,
CH03,Scene05,,8,narration,,,かなこは、以前たけしが選んだ斜めの席へ座る。,,,,,,
CH03,Scene05,,9,narration,,,たけしは正面の椅子を引いた。,,,,,,
CH03,Scene05,,10,dialogue,かなこ,written,「ここで、一緒に在庫を確認したことは覚えていますか」,,,,,,
CH03,Scene05,,11,dialogue,たけし,spoken,「書類を届けたことはあります。でも、作業は一人だったと思います」,,,,,,
CH03,Scene05,,12,narration,,,たけしは敵意を見せず、記憶にあることだけを答えている。,,,,,,
CH03,Scene05,,13,narration,,,扉の外に、板垣先生が立つ。,,,,,,
CH03,Scene05,,14,dialogue,板垣先生,spoken,「かなこさん。次の案内をお願いできる？」,,,,,,
CH03,Scene05,,15,narration,,,かなこは、たけしと話している途中だと伝える。,,,,,,
CH03,Scene05,,16,dialogue,板垣先生,spoken,「たけし君、時間は大丈夫？」,,,,,,
CH03,Scene05,,17,dialogue,たけし,spoken,「五分だけと伝えています。もう出ます」,,,,,,
CH03,Scene05,,18,dialogue,板垣先生,spoken,「分かった。引き止めてごめんね」,,,,,,
CH03,Scene05,,19,narration,,,板垣先生の声にも、久しぶりに会った戸惑いはない。,,,,,,
CH03,Scene05,,20,dialogue,かなこ,written,「たけし君は、前から書類を届けるだけでしたか」,,,,,,
CH03,Scene05,,21,narration,,,板垣先生は、かなこの文字をもう一度読む。,,,,,,
CH03,Scene05,,22,dialogue,板垣先生,spoken,「私が覚えている範囲では、そうだね。ほかに気になることがある？」,,,,,,
CH03,Scene05,,23,narration,,,かなこは日記のことを書かない。,,,,,,
CH03,Scene05,,24,narration,,,たけしは立ち上がり、椅子を戻す。,,,,,,
CH03,Scene05,,25,dialogue,たけし,spoken,「では、失礼します」,,,,,,
CH03,Scene05,,26,narration,,,かなこに向けた声は、最後まで穏やかだった。,,,,,,
CH03,Scene05,,27,narration,,,二人の間にあったはずの時間だけが、どこにも見当たらない。,,,,,,
CH03,Scene05,,28,direction,,,,,,,,,画面演出：短い暗転
CH03,Scene05,,29,time_cue,,,,,,,,同日・夜,時間経過：同日・夜
CH03,Scene05,,30,background,,,,BG_CH3_KANAKO_APARTMENT_DESK_NIGHT,,,,,背景：かなこの自宅・机・夜／素材ID：BG_CH3_KANAKO_APARTMENT_DESK_NIGHT
CH03,Scene05,,31,environment,,,,,停止,,,,環境音：停止／かなこの自宅・夜はBGMのみ
CH03,Scene05,,32,bgm,,,,,,BGM_SC04D_ANXIETY_AND_DECISION,,,BGM：決断前の静かな不安／候補素材ID：BGM_SC04D_ANXIETY_AND_DECISION／低音量
